ID,name,age,gender,state,season,place,days_survived,votes_against,place_percent,time_playing,total_times_played,players_in_season,season_number,is_censored,ChW,ChA,ChW%,VFB,VAP,TotV,TCA,TC%,wTCR,JVF,TotJ,JV%,SurvSc,SurvAv,Alliance_Score,prev_ids,new_id,seasons_played,FTC
0502,Clay Jordan,46.0,Male,LA,Thailand,2.0,39.0,3.0,0.9375,1.0,1,16.0,5.0,1,2.18,12.13,0.18,8.0,3.0,54.0,9.0,0.88,3.56,3.0,7.0,0.43,1.49,7.87,0.7410714285714286,,,,1
0503,Jan Gentry,53.0,Female,FL,Thailand,3.0,38.0,5.0,0.875,1.0,1,16.0,5.0,0,1.18,12.13,0.1,7.0,5.0,54.0,9.0,0.77,2.42,,,,0.86,3.6,0.7410714285714286,,,,0
0504,Helen Glover,47.0,Female,RI,Thailand,4.0,37.0,5.0,0.8125,1.0,1,16.0,5.0,0,2.93,11.13,0.26,6.0,5.0,51.0,8.0,0.74,2.33,,,,1.0,5.27,0.6785714285714286,,,,0
0505,"Ted Rogers, Jr.",37.0,Male,NC,Thailand,5.0,36.0,7.0,0.75,1.0,1,16.0,5.0,0,3.18,10.13,0.31,6.0,7.0,47.0,7.0,0.84,2.18,,,,1.15,5.37,0.75,,,,0
0506,Jake Billingsley,60.0,Male,TX,Thailand,6.0,33.0,7.0,0.6875,1.0,1,16.0,5.0,0,0.94,8.13,0.12,5.0,7.0,51.0,8.0,0.61,1.59,,,,0.72,2.53,0.7244047619047621,,,,0
0507,Penny Ramsey,27.0,Female,TX,Thailand,7.0,30.0,5.0,0.625,1.0,1,16.0,5.0,0,0.94,6.13,0.15,5.0,5.0,45.0,7.0,0.7,2.22,,,,0.85,3.17,0.7244047619047621,,,,0
0508,Ken Stafford,30.0,Male,NY,Thailand,8.0,27.0,6.0,0.5625,1.0,1,16.0,5.0,0,0.94,4.13,0.23,5.0,6.0,38.0,6.0,0.81,2.33,,,,1.04,3.28,0.7541666666666668,,,,0
0509,Erin Collins,26.0,Female,TX,Thailand,9.0,24.0,3.0,0.5,1.0,1,16.0,5.0,0,0.94,2.13,0.44,4.0,3.0,30.0,5.0,0.78,3.2,,,,1.22,4.14,0.6375000000000001,,,,0
0510,Shii Ann Huang,28.0,Female,NY,Thailand,10.0,21.0,10.0,0.4375,1.0,2,16.0,5.0,0,0.43,1.88,0.23,3.0,10.0,26.0,4.0,0.65,1.5,,,,0.89,1.93,0.75,,,,0
0511,Robb Zbacnik,23.0,Male,AZ,Thailand,11.0,18.0,5.0,0.375,1.0,1,16.0,5.0,0,0.94,1.68,0.56,0.0,5.0,21.0,3.0,-0.08,0.0,,,,0.48,0.94,-1.0,,,,0
0512,Stephanie Dill,29.0,Female,AR,Thailand,12.0,15.0,5.0,0.3125,1.0,1,16.0,5.0,0,0.43,1.28,0.34,0.0,5.0,15.0,2.0,-0.17,0.0,,,,0.17,0.43,-1.0,,,,0
0513,Ghandia Johnson,33.0,Female,CO,Thailand,13.0,12.0,5.0,0.25,1.0,1,16.0,5.0,0,0.33,1.08,0.31,1.0,5.0,21.0,3.0,0.25,1.04,,,,0.56,1.37,-1.0,,,,0
0514,Jed Hildebrand,25.0,Male,TX,Thailand,14.0,9.0,5.0,0.1875,1.0,1,16.0,5.0,0,0.41,0.74,0.55,0.0,5.0,8.0,1.0,-0.63,0.0,,,,-0.07,0.41,-1.0,,,,0
0515,Tanya Vance,27.0,Female,TN,Thailand,15.0,6.0,5.0,0.125,1.0,1,16.0,5.0,0,0.0,0.41,0.0,1.0,5.0,15.0,2.0,0.33,1.56,,,,0.33,1.56,-1.0,,,,0
0516,John Raymond,40.0,Male,LA,Thailand,16.0,3.0,6.0,0.0625,1.0,1,16.0,5.0,0,0.0,0.13,0.0,0.0,6.0,8.0,1.0,-0.75,0.0,,,,-0.75,0.0,-1.0,,,,0
0601,Jenna Morasca,21.0,Female,PA,The Amazon,1.0,39.0,3.0,1.0,1.0,2,16.0,6.0,1,4.72,12.93,0.37,9.0,3.0,73.0,11.0,0.81,3.27,6.0,7.0,0.86,2.04,13.14,0.6925170068027212,,,,1
0602,Matthew von Ertfelda,33.0,Male,DC,The Amazon,2.0,39.0,6.0,0.9375,1.0,1,16.0,6.0,1,4.64,12.93,0.36,10.0,6.0,73.0,11.0,0.9,2.55,1.0,7.0,0.14,1.4,8.05,0.6304563492063492,,,,1
0603,Rob Cesternino,24.0,Male,NY,The Amazon,3.0,38.0,4.0,0.875,1.0,2,16.0,6.0,0,1.64,12.93,0.13,10.0,4.0,73.0,11.0,0.9,3.18,,,,1.03,4.82,0.6622023809523809,,,,0
0604,Butch Lockley,50.0,Male,IL,The Amazon,4.0,37.0,5.0,0.8125,1.0,1,16.0,6.0,0,0.88,11.93,0.07,7.0,5.0,70.0,10.0,0.69,2.18,,,,0.77,3.05,0.5878968253968253,,,,0
0605,Heidi Strobel,24.0,Female,MO,The Amazon,5.0,36.0,3.0,0.75,1.0,1,16.0,6.0,0,0.95,10.93,0.09,7.0,3.0,66.0,9.0,0.77,3.11,,,,0.86,4.06,0.7052721088435374,,,,0
0606,Christy Smith,24.0,Female,CO,The Amazon,6.0,33.0,9.0,0.6875,1.0,1,16.0,6.0,0,0.81,8.93,0.09,4.0,9.0,61.0,8.0,0.48,1.08,,,,0.57,1.89,0.5433673469387755,,,,0
0607,Alex Bell,32.0,Male,CA,The Amazon,7.0,30.0,6.0,0.625,1.0,1,16.0,6.0,0,1.98,7.93,0.25,5.0,6.0,55.0,7.0,0.7,2.0,,,,0.95,3.98,0.625297619047619,,,,0
0608,Deena Bennett,35.0,Female,CA,The Amazon,8.0,27.0,6.0,0.5625,1.0,1,16.0,6.0,0,2.05,6.93,0.3,5.0,6.0,48.0,6.0,0.81,2.33,,,,1.11,4.39,0.7388888888888889,,,,0
0609,Dave Johnson,23.0,Male,CA,The Amazon,9.0,24.0,8.0,0.5,1.0,1,16.0,6.0,0,2.21,4.93,0.45,2.0,8.0,40.0,5.0,0.36,0.93,,,,0.81,3.14,0.42,,,,0
0610,Roger Sexton,56.0,Male,CA,The Amazon,10.0,21.0,11.0,0.4375,1.0,1,16.0,6.0,0,0.88,2.6,0.34,3.0,11.0,31.0,4.0,0.66,1.4,,,,1.0,2.28,0.875,,,,0
0611,Shawna Mitchell,23.0,Female,CA,The Amazon,11.0,18.0,6.0,0.375,1.0,1,16.0,6.0,0,0.72,1.6,0.45,1.0,6.0,21.0,3.0,0.24,0.93,,,,0.69,1.65,-1.0,,,,0
0612,Jeanne Hebert,40.0,Female,MA,The Amazon,12.0,15.0,5.0,0.3125,1.0,1,16.0,6.0,0,0.55,1.2,0.46,1.0,5.0,21.0,3.0,0.25,1.04,,,,0.72,1.59,-1.0,,,,0
0613,JoAnna Ward,31.0,Female,SC,The Amazon,13.0,12.0,4.0,0.25,1.0,1,16.0,6.0,0,0.55,1.03,0.54,0.0,4.0,15.0,2.0,-0.13,0.0,,,,0.4,0.55,-1.0,,,,0
0614,Daniel Lue,26.0,Male,TX,The Amazon,14.0,9.0,7.0,0.1875,1.0,1,16.0,6.0,0,0.14,0.7,0.21,0.0,7.0,15.0,2.0,-0.23,0.0,,,,-0.03,0.14,-1.0,,,,0
0615,Janet Koth,46.0,Female,MO,The Amazon,15.0,6.0,5.0,0.125,1.0,1,16.0,6.0,0,0.27,0.41,0.65,0.0,5.0,8.0,1.0,-0.63,0.0,,,,0.03,0.27,-1.0,,,,0
0616,Ryan Aiken,23.0,Male,MD,The Amazon,16.0,3.0,4.0,0.0625,1.0,1,16.0,6.0,0,0.0,0.13,0.0,0.0,4.0,8.0,1.0,-0.5,0.0,,,,-0.5,0.0,-1.0,,,,0
0701,Sandra Diaz-Twine,29.0,Female,WA,Pearl Islands,1.0,39.0,0.0,1.0,1.0,3,16.0,7.0,1,1.0,11.58,0.09,10.0,0.0,77.0,12.0,0.83,5.83,6.0,7.0,0.86,1.78,11.98,0.5765512265512265,,,,1
0702,Lillian Morris,51.0,Female,OH,Pearl Islands,2.0,39.0,10.0,0.9375,1.0,1,16.0,7.0,1,2.03,10.78,0.19,9.0,9.0,73.0,11.0,0.81,1.76,1.0,7.0,0.14,1.14,4.65,-1.0,,,,1
0703,Jon Dalton,29.0,Male,CA,Pearl Islands,3.0,38.0,7.0,0.875,1.0,2,16.0,7.0,0,2.11,11.58,0.18,9.0,7.0,77.0,12.0,0.74,1.91,,,,0.92,4.02,0.4394540644540645,,,,0
0704,Darrah Johnson,22.0,Female,MS,Pearl Islands,4.0,37.0,6.0,0.8125,1.0,1,16.0,7.0,0,4.13,10.58,0.39,7.0,6.0,70.0,10.0,0.69,1.96,,,,1.08,6.09,0.4985714285714286,,,,0
0705,Burton Roberts,31.0,Male,CA,Pearl Islands,5.0,36.0,10.0,0.75,1.0,1,16.0,7.0,0,4.68,9.38,0.5,5.0,10.0,52.0,7.0,0.69,1.43,,,,1.19,6.11,-1.0,,,,0
0706,Christa Hastie,24.0,Female,CA,Pearl Islands,6.0,33.0,7.0,0.6875,1.0,1,16.0,7.0,0,1.0,9.78,0.1,7.0,7.0,65.0,9.0,0.77,1.98,,,,0.87,2.98,0.7291666666666667,,,,0
0707,Tijuana Bradley,26.0,Female,MO,Pearl Islands,7.0,30.0,5.0,0.625,1.0,1,16.0,7.0,0,1.0,8.44,0.12,5.0,5.0,55.0,7.0,0.7,2.22,,,,0.82,3.22,0.5785714285714286,,,,0
